N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0416371,1.02192,0.1,0.64,,,0.69,0.126,-0.03,0.6
-0.041604,1.02181,0.105,0.64,,,0.66,0.116,-0.02,0.6
-0.041571,1.0217,0.11,0.64,,,0.63,0.106,-0.01,0.6
-0.0415379,1.02158,0.095,0.65,,,0.6,0.096,3.46945e-18,0.6
-0.0415049,1.02147,0.1,0.65,,,0.57,0.086,0.01,0.6
-0.0414718,1.02135,0.105,0.65,,,0.54,0.076,0.02,0.6
-0.0414387,1.02124,0.11,0.65,,,0.51,0.066,0.03,0.6
-0.0414056,1.02113,0.095,0.66,,,0.48,0.056,0.04,0.6
-0.0413725,1.02101,0.1,0.66,,,0.45,0.046,0.05,0.6
-0.0413394,1.0209,0.105,0.66,,,0.42,0.036,0.06,0.6
-0.0413064,1.02078,0.11,0.66,,,0.39,0.026,0.07,0.6
-0.0412733,1.02067,0.095,0.67,,,0.36,0.016,0.08,0.6
-0.0412402,1.02056,0.1,0.67,,,0.33,0.006,0.09,0.6
-0.0412071,1.02044,0.105,0.67,,,0.3,-0.004,0.1,0.6
-0.041174,1.02033,0.11,0.67,,,0.27,-0.014,0.11,0.6
-0.0411408,1.02021,0.095,0.68,,,0.24,-0.024,0.12,0.6
-0.0411077,1.0201,0.1,0.68,,,0.21,-0.034,0.13,0.6
-0.0410746,1.01998,0.105,0.68,,,0.18,-0.044,0.14,0.6
-0.0410415,1.01987,0.11,0.68,,,0.15,-0.054,0.15,0.6
-0.0410084,1.01976,0.095,0.69,,,0.8,0.152375,-0.05,0.65
-0.0409752,1.01964,0.1,0.69,,,0.77,0.142375,-0.04,0.65
-0.0409421,1.01953,0.105,0.69,,,0.74,0.132375,-0.03,0.65
-0.040909,1.01941,0.11,0.69,,,0.71,0.122375,-0.02,0.65
-0.0408759,1.0193,0.1,0.7,,,0.68,0.112375,-0.01,0.65
-0.0408427,1.01918,0.105,0.7,,,0.65,0.102375,3.46945e-18,0.65
-0.0408096,1.01907,0.11,0.7,,,0.62,0.092375,0.01,0.65
-0.0407764,1.01895,0.1,0.71,,,0.59,0.082375,0.02,0.65
-0.0407433,1.01884,0.105,0.71,,,0.56,0.072375,0.03,0.65
-0.0407101,1.01872,0.11,0.71,,,0.53,0.062375,0.04,0.65
-0.040677,1.01861,0.115,0.71,,,0.5,0.052375,0.05,0.65
-0.0406438,1.01849,0.095,0.72,,,0.47,0.042375,0.06,0.65
-0.0406107,1.01838,0.1,0.72,,,0.44,0.032375,0.07,0.65
-0.0405775,1.01826,0.105,0.72,,,0.41,0.022375,0.08,0.65
-0.0405443,1.01815,0.11,0.72,,,0.38,0.012375,0.09,0.65
-0.0405112,1.01803,0.095,0.73,,,0.35,0.002375,0.1,0.65
-0.040478,1.01792,0.1,0.73,,,0.32,-0.007625,0.11,0.65
-0.0404448,1.0178,0.105,0.73,,,0.29,-0.017625,0.12,0.65
-0.0404117,1.01768,0.11,0.73,,,0.26,-0.027625,0.13,0.65
-0.0403785,1.01757,0.095,0.74,,,0.23,-0.037625,0.14,0.65
-0.0403453,1.01745,0.1,0.74,,,0.2,-0.047625,0.15,0.65
-0.0403121,1.01734,0.105,0.74,,,0.85,0.155,-0.05,0.7
-0.040279,1.01722,0.11,0.74,,,0.82,0.145,-0.04,0.7
-0.0402458,1.01711,0.095,0.75,,,0.79,0.135,-0.03,0.7
-0.0402126,1.01699,0.1,0.75,,,0.76,0.125,-0.02,0.7
-0.0401794,1.01687,0.105,0.75,,,0.73,0.115,-0.01,0.7
-0.0401462,1.01676,0.11,0.75,,,0.7,0.105,3.46945e-18,0.7
-0.040113,1.01664,0.095,0.76,,,0.67,0.095,0.01,0.7
-0.0400798,1.01653,0.1,0.76,,,0.64,0.085,0.02,0.7
-0.0400466,1.01641,0.105,0.76,,,0.61,0.075,0.03,0.7
-0.0400134,1.01629,0.11,0.76,,,0.58,0.065,0.04,0.7
-0.0399802,1.01618,0.095,0.77,,,0.55,0.055,0.05,0.7
-0.039947,1.01606,0.1,0.77,,,0.52,0.045,0.06,0.7
-0.0399138,1.01594,0.105,0.77,,,0.49,0.035,0.07,0.7
-0.0398806,1.01583,0.11,0.77,,,0.46,0.025,0.08,0.7
-0.0398474,1.01571,0.09,0.78,,,0.43,0.015,0.09,0.7
-0.0398142,1.01559,0.095,0.78,,,0.4,0.005,0.1,0.7
-0.039781,1.01548,0.1,0.78,,,0.37,-0.005,0.11,0.7
-0.0397478,1.01536,0.105,0.78,,,0.34,-0.015,0.12,0.7
-0.0397145,1.01524,0.09,0.79,,,0.31,-0.025,0.13,0.7
-0.0396813,1.01513,0.095,0.79,,,0.28,-0.035,0.14,0.7
-0.0396481,1.01501,0.1,0.79,,,0.25,-0.045,0.15,0.7
-0.0396149,1.01489,0.105,0.79,,,0.9,0.153125,-0.05,0.75
-0.0395817,1.01478,0.09,0.8,,,0.87,0.143125,-0.04,0.75
-0.0395484,1.01466,0.095,0.8,,,0.84,0.133125,-0.03,0.75
-0.0395152,1.01454,0.1,0.8,,,0.81,0.123125,-0.02,0.75
-0.039482,1.01442,0.105,0.8,,,0.78,0.113125,-0.01,0.75
-0.0394487,1.01431,0.085,0.81,,,0.75,0.103125,3.46945e-18,0.75
-0.0394155,1.01419,0.09,0.81,,,0.72,0.093125,0.01,0.75
-0.0393823,1.01407,0.095,0.81,,,0.69,0.083125,0.02,0.75
-0.0393491,1.01396,0.1,0.81,,,0.66,0.073125,0.03,0.75
-0.0393158,1.01384,0.085,0.82,,,0.63,0.063125,0.04,0.75
-0.0392826,1.01372,0.09,0.82,,,0.6,0.053125,0.05,0.75
-0.0392493,1.0136,0.095,0.82,,,0.57,0.043125,0.06,0.75
-0.0392161,1.01348,0.1,0.82,,,0.54,0.033125,0.07,0.75
-0.0391829,1.01337,0.08,0.83,,,0.51,0.023125,0.08,0.75
-0.0391496,1.01325,0.085,0.83,,,0.48,0.013125,0.09,0.75
-0.0391164,1.01313,0.09,0.83,,,0.45,0.003125,0.1,0.75
-0.0390831,1.01301,0.095,0.83,,,0.42,-0.006875,0.11,0.75
-0.0390499,1.0129,0.08,0.84,,,0.39,-0.016875,0.12,0.75
-0.0390166,1.01278,0.085,0.84,,,0.36,-0.026875,0.13,0.75
-0.0389834,1.01266,0.09,0.84,,,0.33,-0.036875,0.14,0.75
-0.0389501,1.01254,0.095,0.84,,,0.3,-0.046875,0.15,0.75
-0.0389169,1.01242,0.075,0.85,,,0.95,0.146,-0.05,0.8
-0.0388836,1.0123,0.08,0.85,,,0.92,0.136,-0.04,0.8
-0.0388504,1.01219,0.085,0.85,,,0.89,0.126,-0.03,0.8
-0.0388171,1.01207,0.09,0.85,,,0.86,0.116,-0.02,0.8
-0.0387839,1.01195,0.07,0.86,,,0.83,0.106,-0.01,0.8
-0.0387506,1.01183,0.075,0.86,,,0.8,0.096,3.46945e-18,0.8
-0.0387173,1.01171,0.08,0.86,,,0.77,0.086,0.01,0.8
-0.0386841,1.01159,0.085,0.86,,,0.74,0.076,0.02,0.8
-0.0386508,1.01148,0.07,0.87,,,0.71,0.066,0.03,0.8
-0.0386176,1.01136,0.075,0.87,,,0.68,0.056,0.04,0.8
-0.0385843,1.01124,0.08,0.87,,,0.65,0.046,0.05,0.8
-0.038551,1.01112,0.085,0.87,,,0.62,0.036,0.06,0.8
-0.0385178,1.011,0.065,0.88,,,0.59,0.026,0.07,0.8
-0.0384845,1.01088,0.07,0.88,,,0.56,0.016,0.08,0.8
-0.0384512,1.01076,0.075,0.88,,,0.53,0.006,0.09,0.8
-0.038418,1.01064,0.08,0.88,,,0.5,-0.004,0.1,0.8
-0.0383847,1.01052,0.06,0.89,,,0.47,-0.014,0.11,0.8
-0.0383514,1.0104,0.065,0.89,,,0.44,-0.024,0.12,0.8
-0.0383182,1.01028,0.07,0.89,,,0.41,-0.034,0.13,0.8
-0.0382849,1.01017,0.075,0.89,,,0.38,-0.044,0.14,0.8
-0.0382516,1.01005,0.055,0.9,,,0.35,-0.054,0.15,0.8
-0.0382183,1.00993,0.06,0.9,,,1,0.132875,-0.05,0.85
-0.0381851,1.00981,0.065,0.9,,,0.97,0.122875,-0.04,0.85
-0.0381518,1.00969,0.07,0.9,,,0.94,0.112875,-0.03,0.85
-0.0381185,1.00957,0.05,0.91,,,0.91,0.102875,-0.02,0.85
-0.0380852,1.00945,0.055,0.91,,,0.88,0.092875,-0.01,0.85
-0.0380519,1.00933,0.06,0.91,,,0.85,0.082875,3.46945e-18,0.85
-0.0380187,1.00921,0.065,0.91,,,0.82,0.072875,0.01,0.85
-0.0379854,1.00909,0.045,0.92,,,0.79,0.062875,0.02,0.85
-0.0379521,1.00897,0.05,0.92,,,0.76,0.052875,0.03,0.85
-0.0379188,1.00885,0.055,0.92,,,0.73,0.042875,0.04,0.85
-0.0378855,1.00873,0.06,0.92,,,0.7,0.032875,0.05,0.85
-0.0378523,1.00861,0.04,0.93,,,0.67,0.022875,0.06,0.85
-0.037819,1.00849,0.045,0.93,,,0.64,0.012875,0.07,0.85
-0.0377857,1.00837,0.05,0.93,,,0.61,0.002875,0.08,0.85
-0.0377524,1.00825,0.055,0.93,,,0.58,-0.007125,0.09,0.85
-0.0377191,1.00813,0.035,0.94,,,0.55,-0.017125,0.1,0.85
-0.0376858,1.00801,0.04,0.94,,,0.52,-0.027125,0.11,0.85
-0.0376525,1.00789,0.045,0.94,,,0.49,-0.037125,0.12,0.85
-0.0376193,1.00776,0.05,0.94,,,0.46,-0.047125,0.13,0.85
-0.037586,1.00764,0.03,0.95,,,0.43,-0.057125,0.14,0.85
-0.0375527,1.00752,0.035,0.95,,,0.4,-0.067125,0.15,0.85
-0.0375194,1.0074,0.04,0.95,,,1.05,0.113,-0.05,0.9
-0.0374861,1.00728,0.045,0.95,,,1.02,0.103,-0.04,0.9
-0.0374528,1.00716,0.02,0.96,,,0.99,0.093,-0.03,0.9
-0.0374195,1.00704,0.025,0.96,,,0.96,0.083,-0.02,0.9
-0.0373862,1.00692,0.03,0.96,,,0.93,0.073,-0.01,0.9
-0.0373529,1.0068,0.035,0.96,,,0.9,0.063,3.46945e-18,0.9
-0.0373196,1.00668,0.015,0.97,,,0.87,0.053,0.01,0.9
-0.0372863,1.00655,0.02,0.97,,,0.84,0.043,0.02,0.9
-0.037253,1.00643,0.025,0.97,,,0.81,0.033,0.03,0.9
-0.0372197,1.00631,0.03,0.97,,,0.78,0.023,0.04,0.9
-0.0371865,1.00619,0.01,0.98,,,0.75,0.013,0.05,0.9
-0.0371532,1.00607,0.015,0.98,,,0.72,0.003,0.06,0.9
-0.0371199,1.00595,0.02,0.98,,,0.69,-0.007,0.07,0.9
-0.0370866,1.00583,0.025,0.98,,,0.66,-0.017,0.08,0.9
-0.0370533,1.0057,-5.20417e-18,0.99,,,0.63,-0.027,0.09,0.9
-0.03702,1.00558,0.005,0.99,,,0.6,-0.037,0.1,0.9
-0.0369867,1.00546,0.01,0.99,,,0.57,-0.047,0.11,0.9
-0.0369534,1.00534,0.015,0.99,,,0.54,-0.057,0.12,0.9
-0.0369201,1.00522,-0.01,1,,,0.51,-0.067,0.13,0.9
-0.0368868,1.00509,-0.005,1,,,0.48,-0.077,0.14,0.9
-0.0368535,1.00497,-5.20417e-18,1,,,0.45,-0.087,0.15,0.9
-0.0368202,1.00485,0.005,1,,,1.1,0.085625,-0.05,0.95
-0.0367869,1.00473,-0.015,1.01,,,1.07,0.075625,-0.04,0.95
-0.0367536,1.00461,-0.01,1.01,,,1.04,0.065625,-0.03,0.95
-0.0367203,1.00448,-0.005,1.01,,,1.01,0.055625,-0.02,0.95
-0.0366869,1.00436,-5.20417e-18,1.01,,,0.98,0.045625,-0.01,0.95
-0.0366536,1.00424,-0.025,1.02,,,0.95,0.035625,3.46945e-18,0.95
-0.0366203,1.00412,-0.02,1.02,,,0.92,0.025625,0.01,0.95
-0.036587,1.00399,-0.015,1.02,,,0.89,0.015625,0.02,0.95
-0.0365537,1.00387,-0.01,1.02,,,0.86,0.005625,0.03,0.95
-0.0365204,1.00375,-0.035,1.03,,,0.83,-0.004375,0.04,0.95
-0.0364871,1.00362,-0.03,1.03,,,0.8,-0.014375,0.05,0.95
-0.0364538,1.0035,-0.025,1.03,,,0.77,-0.024375,0.06,0.95
-0.0364205,1.00338,-0.02,1.03,,,0.74,-0.034375,0.07,0.95
-0.0363872,1.00326,-0.04,1.04,,,0.71,-0.044375,0.08,0.95
-0.0363539,1.00313,-0.035,1.04,,,0.68,-0.054375,0.09,0.95
-0.0363206,1.00301,-0.03,1.04,,,0.65,-0.064375,0.1,0.95
-0.0362873,1.00289,-0.025,1.04,,,0.62,-0.074375,0.11,0.95
-0.036254,1.00276,-0.05,1.05,,,0.59,-0.084375,0.12,0.95
-0.0362207,1.00264,-0.045,1.05,,,0.56,-0.094375,0.13,0.95
-0.0361873,1.00252,-0.04,1.05,,,0.53,-0.104375,0.14,0.95
-0.036154,1.00239,-0.035,1.05,,,0.5,-0.114375,0.15,0.95
-0.0361207,1.00227,-0.05,1.06,,,1.15,0.05,-0.05,1
-0.0360874,1.00214,-0.045,1.06,,,1.12,0.04,-0.04,1
-0.0360541,1.00202,,,,,1.09,0.03,-0.03,1
-0.0360208,1.0019,,,,,1.06,0.02,-0.02,1
-0.0359875,1.00177,,,,,1.03,0.01,-0.01,1
-0.0359542,1.00165,,,,,1,-1.81105e-16,3.46945e-18,1
-0.0359209,1.00152,,,,,0.97,-0.01,0.01,1
-0.0358875,1.0014,,,,,0.94,-0.02,0.02,1
-0.0358542,1.00128,,,,,0.91,-0.03,0.03,1
-0.0358209,1.00115,,,,,0.88,-0.04,0.04,1
-0.0357876,1.00103,,,,,0.85,-0.05,0.05,1
-0.0357543,1.0009,,,,,0.82,-0.06,0.06,1
-0.035721,1.00078,,,,,0.79,-0.07,0.07,1
-0.0356877,1.00065,,,,,0.76,-0.08,0.08,1
-0.0356543,1.00053,,,,,0.73,-0.09,0.09,1
-0.035621,1.00041,,,,,0.7,-0.1,0.1,1
-0.0355877,1.00028,,,,,0.67,-0.11,0.11,1
-0.0355544,1.00016,,,,,0.64,-0.12,0.12,1
-0.0355211,1.00003,,,,,0.61,-0.13,0.13,1
-0.0354878,0.999906,,,,,0.58,-0.14,0.14,1
-0.0354544,0.999781,,,,,0.55,-0.15,0.15,1
-0.0354211,0.999656,,,,,1.2,0.005375,-0.05,1.05
-0.0353878,0.999531,,,,,1.17,-0.004625,-0.04,1.05
-0.0353545,0.999406,,,,,1.14,-0.014625,-0.03,1.05
-0.0353212,0.999281,,,,,1.11,-0.024625,-0.02,1.05
-0.0352879,0.999155,,,,,1.08,-0.034625,-0.01,1.05
-0.0352545,0.99903,,,,,1.05,-0.044625,3.46945e-18,1.05
-0.0352212,0.998904,,,,,1.02,-0.054625,0.01,1.05
-0.0351879,0.998779,,,,,0.99,-0.064625,0.02,1.05
-0.0351546,0.998653,,,,,0.96,-0.074625,0.03,1.05
-0.0351213,0.998527,,,,,0.93,-0.084625,0.04,1.05
-0.0350879,0.998402,,,,,0.9,-0.094625,0.05,1.05
-0.0350546,0.998276,,,,,0.87,-0.104625,0.06,1.05
-0.0350213,0.99815,,,,,0.84,-0.114625,0.07,1.05
-0.034988,0.998024,,,,,0.81,-0.124625,0.08,1.05
-0.0349547,0.997898,,,,,0.78,-0.134625,0.09,1.05
-0.0349214,0.997772,,,,,0.75,-0.144625,0.1,1.05
-0.034888,0.997645,,,,,0.72,-0.154625,0.11,1.05
-0.0348547,0.997519,,,,,0.69,-0.164625,0.12,1.05
-0.0348214,0.997393,,,,,0.66,-0.174625,0.13,1.05
-0.0347881,0.997266,,,,,0.63,-0.184625,0.14,1.05
-0.0347547,0.99714,,,,,0.6,-0.194625,0.15,1.05
-0.0347214,0.997013,,,,,,,,
-0.0346881,0.996887,,,,,,,,
-0.0346548,0.99676,,,,,,,,
-0.0346215,0.996633,,,,,,,,
-0.0345881,0.996506,,,,,,,,
-0.0345548,0.996379,,,,,,,,
-0.0345215,0.996252,,,,,,,,
-0.0344882,0.996125,,,,,,,,
-0.0344549,0.995998,,,,,,,,
-0.0344215,0.995871,,,,,,,,
-0.0343882,0.995744,,,,,,,,
-0.0343549,0.995616,,,,,,,,
-0.0343216,0.995489,,,,,,,,
-0.0342882,0.995361,,,,,,,,
-0.0342549,0.995234,,,,,,,,
-0.0342216,0.995106,,,,,,,,
-0.0341883,0.994978,,,,,,,,
-0.0341549,0.99485,,,,,,,,
-0.0341216,0.994722,,,,,,,,
-0.0340883,0.994595,,,,,,,,
-0.034055,0.994466,,,,,,,,
-0.0340216,0.994338,,,,,,,,
-0.0339883,0.99421,,,,,,,,
-0.033955,0.994082,,,,,,,,
-0.0339217,0.993954,,,,,,,,
-0.0338883,0.993825,,,,,,,,
-0.033855,0.993697,,,,,,,,
-0.0338217,0.993568,,,,,,,,
-0.0337884,0.993439,,,,,,,,
-0.033755,0.993311,,,,,,,,
-0.0337217,0.993182,,,,,,,,
-0.0336884,0.993053,,,,,,,,
-0.0336551,0.992924,,,,,,,,
-0.0336217,0.992795,,,,,,,,
-0.0335884,0.992666,,,,,,,,
-0.0335551,0.992537,,,,,,,,
-0.0335218,0.992408,,,,,,,,
-0.0334884,0.992278,,,,,,,,
-0.0334551,0.992149,,,,,,,,
-0.0334218,0.992019,,,,,,,,
-0.0333885,0.99189,,,,,,,,
-0.0333551,0.99176,,,,,,,,
-0.0333218,0.99163,,,,,,,,
-0.0332885,0.991501,,,,,,,,
-0.0332551,0.991371,,,,,,,,
-0.0332218,0.991241,,,,,,,,
-0.0331885,0.991111,,,,,,,,
-0.0331552,0.990981,,,,,,,,
-0.0331218,0.99085,,,,,,,,
-0.0330885,0.99072,,,,,,,,
-0.0330552,0.99059,,,,,,,,
-0.0330219,0.990459,,,,,,,,
-0.0329885,0.990329,,,,,,,,
-0.0329552,0.990198,,,,,,,,
-0.0329219,0.990068,,,,,,,,
-0.0328885,0.989937,,,,,,,,
-0.0328552,0.989806,,,,,,,,
-0.0328219,0.989675,,,,,,,,
-0.0327886,0.989544,,,,,,,,
-0.0327552,0.989413,,,,,,,,
-0.0327219,0.989282,,,,,,,,
-0.0326886,0.989151,,,,,,,,
-0.0326552,0.98902,,,,,,,,
-0.0326219,0.988888,,,,,,,,
-0.0325886,0.988757,,,,,,,,
-0.0325553,0.988625,,,,,,,,
-0.0325219,0.988494,,,,,,,,
-0.0324886,0.988362,,,,,,,,
-0.0324553,0.98823,,,,,,,,
-0.0324219,0.988098,,,,,,,,
-0.0323886,0.987966,,,,,,,,
-0.0323553,0.987834,,,,,,,,
-0.032322,0.987702,,,,,,,,
-0.0322886,0.98757,,,,,,,,
-0.0322553,0.987438,,,,,,,,
-0.032222,0.987305,,,,,,,,
-0.0321886,0.987173,,,,,,,,
-0.0321553,0.987041,,,,,,,,
-0.032122,0.986908,,,,,,,,
-0.0320886,0.986775,,,,,,,,
-0.0320553,0.986643,,,,,,,,
-0.032022,0.98651,,,,,,,,
-0.0319887,0.986377,,,,,,,,
-0.0319553,0.986244,,,,,,,,
-0.031922,0.986111,,,,,,,,
-0.0318887,0.985978,,,,,,,,
-0.0318553,0.985844,,,,,,,,
-0.031822,0.985711,,,,,,,,
-0.0317887,0.985578,,,,,,,,
-0.0317553,0.985444,,,,,,,,
-0.031722,0.985311,,,,,,,,
-0.0316887,0.985177,,,,,,,,
-0.0316554,0.985043,,,,,,,,
-0.031622,0.984909,,,,,,,,
-0.0315887,0.984775,,,,,,,,
-0.0315554,0.984641,,,,,,,,
-0.031522,0.984507,,,,,,,,
-0.0314887,0.984373,,,,,,,,
-0.0314554,0.984239,,,,,,,,
-0.031422,0.984105,,,,,,,,
-0.0313887,0.98397,,,,,,,,
-0.0313554,0.983836,,,,,,,,
-0.0313221,0.983701,,,,,,,,
-0.0312887,0.983566,,,,,,,,
-0.0312554,0.983432,,,,,,,,
-0.0312221,0.983297,,,,,,,,
-0.0311887,0.983162,,,,,,,,
-0.0311554,0.983027,,,,,,,,
-0.0311221,0.982892,,,,,,,,
-0.0310887,0.982756,,,,,,,,
-0.0310554,0.982621,,,,,,,,
-0.0310221,0.982486,,,,,,,,
-0.0309887,0.98235,,,,,,,,
-0.0309554,0.982215,,,,,,,,
-0.0309221,0.982079,,,,,,,,
-0.0308887,0.981944,,,,,,,,
-0.0308554,0.981808,,,,,,,,
-0.0308221,0.981672,,,,,,,,
-0.0307888,0.981536,,,,,,,,
-0.0307554,0.9814,,,,,,,,
-0.0307221,0.981264,,,,,,,,
-0.0306888,0.981127,,,,,,,,
-0.0306554,0.980991,,,,,,,,
-0.0306221,0.980855,,,,,,,,
-0.0305888,0.980718,,,,,,,,
-0.0305554,0.980582,,,,,,,,
-0.0305221,0.980445,,,,,,,,
-0.0304888,0.980308,,,,,,,,
-0.0304554,0.980171,,,,,,,,
-0.0304221,0.980034,,,,,,,,
-0.0303888,0.979897,,,,,,,,
-0.0303554,0.97976,,,,,,,,
-0.0303221,0.979623,,,,,,,,
-0.0302888,0.979486,,,,,,,,
-0.0302555,0.979348,,,,,,,,
-0.0302221,0.979211,,,,,,,,
-0.0301888,0.979073,,,,,,,,
-0.0301555,0.978936,,,,,,,,
-0.0301221,0.978798,,,,,,,,
-0.0300888,0.97866,,,,,,,,
-0.0300555,0.978522,,,,,,,,
-0.0300221,0.978384,,,,,,,,
-0.0299888,0.978246,,,,,,,,
-0.0299555,0.978108,,,,,,,,
-0.0299221,0.977969,,,,,,,,
-0.0298888,0.977831,,,,,,,,
-0.0298555,0.977692,,,,,,,,
-0.0298221,0.977554,,,,,,,,
-0.0297888,0.977415,,,,,,,,
-0.0297555,0.977276,,,,,,,,
-0.0297221,0.977138,,,,,,,,
-0.0296888,0.976999,,,,,,,,
-0.0296555,0.97686,,,,,,,,
-0.0296221,0.97672,,,,,,,,
-0.0295888,0.976581,,,,,,,,
-0.0295555,0.976442,,,,,,,,
-0.0295221,0.976302,,,,,,,,
-0.0294888,0.976163,,,,,,,,
-0.0294555,0.976023,,,,,,,,
-0.0294222,0.975884,,,,,,,,
-0.0293888,0.975744,,,,,,,,
-0.0293555,0.975604,,,,,,,,
-0.0293222,0.975464,,,,,,,,
-0.0292888,0.975324,,,,,,,,
-0.0292555,0.975184,,,,,,,,
-0.0292222,0.975044,,,,,,,,
-0.0291888,0.974903,,,,,,,,
-0.0291555,0.974763,,,,,,,,
-0.0291222,0.974622,,,,,,,,
-0.0290888,0.974482,,,,,,,,
-0.0290555,0.974341,,,,,,,,
-0.0290222,0.9742,,,,,,,,
-0.0289888,0.974059,,,,,,,,
-0.0289555,0.973918,,,,,,,,
-0.0289222,0.973777,,,,,,,,
-0.0288888,0.973636,,,,,,,,
-0.0288555,0.973494,,,,,,,,
-0.0288222,0.973353,,,,,,,,
-0.0287888,0.973211,,,,,,,,
-0.0287555,0.97307,,,,,,,,
-0.0287222,0.972928,,,,,,,,
-0.0286888,0.972786,,,,,,,,
-0.0286555,0.972644,,,,,,,,
-0.0286222,0.972502,,,,,,,,
-0.0285888,0.97236,,,,,,,,
-0.0285555,0.972218,,,,,,,,
-0.0285222,0.972076,,,,,,,,
-0.0284888,0.971933,,,,,,,,
-0.0284555,0.971791,,,,,,,,
-0.0284222,0.971648,,,,,,,,
-0.0283888,0.971506,,,,,,,,
-0.0283555,0.971363,,,,,,,,
-0.0283222,0.97122,,,,,,,,
-0.0282888,0.971077,,,,,,,,
-0.0282555,0.970934,,,,,,,,
-0.0282222,0.970791,,,,,,,,
-0.0281888,0.970647,,,,,,,,
-0.0281555,0.970504,,,,,,,,
-0.0281222,0.97036,,,,,,,,
-0.0280888,0.970217,,,,,,,,
-0.0280555,0.970073,,,,,,,,
-0.0280222,0.969929,,,,,,,,
-0.0279889,0.969785,,,,,,,,
-0.0279555,0.969641,,,,,,,,
-0.0279222,0.969497,,,,,,,,
-0.0278889,0.969353,,,,,,,,
-0.0278555,0.969209,,,,,,,,
-0.0278222,0.969064,,,,,,,,
-0.0277889,0.96892,,,,,,,,
-0.0277555,0.968775,,,,,,,,
-0.0277222,0.968631,,,,,,,,
-0.0276889,0.968486,,,,,,,,
-0.0276555,0.968341,,,,,,,,
-0.0276222,0.968196,,,,,,,,
-0.0275889,0.968051,,,,,,,,
-0.0275555,0.967905,,,,,,,,
-0.0275222,0.96776,,,,,,,,
-0.0274889,0.967615,,,,,,,,
-0.0274555,0.967469,,,,,,,,
-0.0274222,0.967323,,,,,,,,
-0.0273889,0.967178,,,,,,,,
-0.0273555,0.967032,,,,,,,,
-0.0273222,0.966886,,,,,,,,
-0.0272889,0.96674,,,,,,,,
-0.0272555,0.966593,,,,,,,,
-0.0272222,0.966447,,,,,,,,
-0.0271889,0.966301,,,,,,,,
-0.0271555,0.966154,,,,,,,,
-0.0271222,0.966008,,,,,,,,
-0.0270889,0.965861,,,,,,,,
-0.0270555,0.965714,,,,,,,,
-0.0270222,0.965567,,,,,,,,
-0.0269889,0.96542,,,,,,,,
-0.0269555,0.965273,,,,,,,,
-0.0269222,0.965126,,,,,,,,
-0.0268889,0.964978,,,,,,,,
-0.0268555,0.964831,,,,,,,,
-0.0268222,0.964683,,,,,,,,
-0.0267889,0.964536,,,,,,,,
-0.0267555,0.964388,,,,,,,,
-0.0267222,0.96424,,,,,,,,
-0.0266889,0.964092,,,,,,,,
-0.0266555,0.963944,,,,,,,,
-0.0266222,0.963796,,,,,,,,
-0.0265889,0.963647,,,,,,,,
-0.0265555,0.963499,,,,,,,,
-0.0265222,0.96335,,,,,,,,
-0.0264889,0.963201,,,,,,,,
-0.0264555,0.963053,,,,,,,,
-0.0264222,0.962904,,,,,,,,
-0.0263889,0.962755,,,,,,,,
-0.0263555,0.962606,,,,,,,,
-0.0263222,0.962456,,,,,,,,
-0.0262889,0.962307,,,,,,,,
-0.0262555,0.962158,,,,,,,,
-0.0262222,0.962008,,,,,,,,
-0.0261889,0.961858,,,,,,,,
-0.0261555,0.961709,,,,,,,,
-0.0261222,0.961559,,,,,,,,
-0.0260889,0.961409,,,,,,,,
-0.0260555,0.961258,,,,,,,,
-0.0260222,0.961108,,,,,,,,
-0.0259889,0.960958,,,,,,,,
-0.0259555,0.960807,,,,,,,,
-0.0259222,0.960657,,,,,,,,
-0.0258889,0.960506,,,,,,,,
-0.0258555,0.960355,,,,,,,,
-0.0258222,0.960204,,,,,,,,
-0.0257889,0.960053,,,,,,,,
-0.0257555,0.959902,,,,,,,,
-0.0257222,0.959751,,,,,,,,
-0.0256889,0.959599,,,,,,,,
-0.0256555,0.959448,,,,,,,,
-0.0256222,0.959296,,,,,,,,
-0.0255889,0.959144,,,,,,,,
-0.0255555,0.958993,,,,,,,,
-0.0255222,0.958841,,,,,,,,
-0.0254889,0.958688,,,,,,,,
-0.0254555,0.958536,,,,,,,,
-0.0254222,0.958384,,,,,,,,
-0.0253889,0.958231,,,,,,,,
-0.0253555,0.958079,,,,,,,,
-0.0253222,0.957926,,,,,,,,
-0.0252889,0.957773,,,,,,,,
-0.0252555,0.95762,,,,,,,,
-0.0252222,0.957467,,,,,,,,
-0.0251889,0.957314,,,,,,,,
-0.0251555,0.957161,,,,,,,,
-0.0251222,0.957007,,,,,,,,
-0.0250889,0.956854,,,,,,,,
-0.0250555,0.9567,,,,,,,,
-0.0250222,0.956546,,,,,,,,
-0.0249889,0.956393,,,,,,,,
-0.0249555,0.956239,,,,,,,,
-0.0249222,0.956084,,,,,,,,
-0.0248889,0.95593,,,,,,,,
-0.0248555,0.955776,,,,,,,,
-0.0248222,0.955621,,,,,,,,
-0.0247889,0.955467,,,,,,,,
-0.0247555,0.955312,,,,,,,,
-0.0247222,0.955157,,,,,,,,
-0.0246889,0.955002,,,,,,,,
