N,V,N_dv_0,V_dv_0,N_dn_0,V_dn_0,Ndt,Vdt,N_y_dt,V_x_dt
-0.0492849,1.04927,0.005,3.46945e-18,0.1,0.3,-0.5,-0.136875,0.15,-0.05
-0.0492647,1.04916,0.01,3.46945e-18,0.105,0.31,0.15,0.05,-0.05,1.38778e-17
-0.0492442,1.04906,-0.01,0.01,0.105,0.32,0.12,0.04,-0.04,1.38778e-17
-0.0492235,1.04896,-0.005,0.01,0.11,0.32,0.09,0.03,-0.03,1.38778e-17
-0.0492027,1.04886,-5.20417e-18,0.01,0.11,0.33,0.06,0.02,-0.02,1.38778e-17
-0.0491816,1.04876,0.005,0.01,0.115,0.34,0.03,0.01,-0.01,1.38778e-17
-0.0491604,1.04866,-0.01,0.02,0.115,0.35,3.46945e-18,-6.245e-18,3.46945e-18,1.38778e-17
-0.049139,1.04855,-0.005,0.02,0.12,0.35,-0.03,-0.01,0.01,1.38778e-17
-0.0491174,1.04845,-5.20417e-18,0.02,0.12,0.36,-0.06,-0.02,0.02,1.38778e-17
-0.0490956,1.04835,0.005,0.02,0.125,0.37,-0.09,-0.03,0.03,1.38778e-17
-0.0490737,1.04825,-0.01,0.03,0.125,0.38,-0.12,-0.04,0.04,1.38778e-17
-0.0490516,1.04815,-0.005,0.03,0.13,0.38,-0.15,-0.05,0.05,1.38778e-17
-0.0490293,1.04805,-5.20417e-18,0.03,0.13,0.39,-0.18,-0.06,0.06,1.38778e-17
-0.0490069,1.04794,0.005,0.03,0.135,0.4,-0.21,-0.07,0.07,1.38778e-17
-0.0489843,1.04784,-0.015,0.04,0.135,0.41,-0.24,-0.08,0.08,1.38778e-17
-0.0489615,1.04774,-0.01,0.04,0.14,0.41,-0.27,-0.09,0.09,1.38778e-17
-0.0489386,1.04764,-0.005,0.04,0.14,0.42,-0.3,-0.1,0.1,1.38778e-17
-0.0489155,1.04753,-5.20417e-18,0.04,0.145,0.43,-0.33,-0.11,0.11,1.38778e-17
-0.0488923,1.04743,-0.015,0.05,0.145,0.44,-0.36,-0.12,0.12,1.38778e-17
