V,K_I,Na_I,L_I,Cl_I
-0.846871,3.23008,-0.672006,-3.43406,2.15527
-0.847151,3.23004,-0.671972,-3.43415,2.15519
-0.84743,3.23,-0.671937,-3.43423,2.15512
-0.847709,3.22996,-0.671902,-3.43431,2.15504
-0.847988,3.22992,-0.671867,-3.4344,2.15496
-0.848266,3.22988,-0.671833,-3.43448,2.15488
-0.848545,3.22984,-0.671798,-3.43456,2.15481
-0.848823,3.2298,-0.671763,-3.43465,2.15473
-0.849101,3.22976,-0.671729,-3.43473,2.15465
-0.849379,3.22972,-0.671694,-3.43481,2.15457
-0.849657,3.22969,-0.67166,-3.4349,2.1545
-0.849934,3.22965,-0.671625,-3.43498,2.15442
-0.850212,3.22961,-0.671591,-3.43506,2.15434
-0.850489,3.22957,-0.671557,-3.43515,2.15426
-0.850766,3.22953,-0.671522,-3.43523,2.15419
-0.851043,3.22949,-0.671488,-3.43531,2.15411
-0.85132,3.22945,-0.671454,-3.4354,2.15403
-0.851597,3.22941,-0.67142,-3.43548,2.15396
-0.851873,3.22937,-0.671385,-3.43556,2.15388
-0.852149,3.22933,-0.671351,-3.43564,2.1538
-0.852426,3.22929,-0.671317,-3.43573,2.15372
-0.852702,3.22925,-0.671283,-3.43581,2.15365
-0.852977,3.22921,-0.671249,-3.43589,2.15357
-0.853253,3.22917,-0.671215,-3.43598,2.15349
-0.853529,3.22914,-0.671181,-3.43606,2.15342
-0.853804,3.2291,-0.671147,-3.43614,2.15334
-0.854079,3.22906,-0.671114,-3.43622,2.15326
-0.854354,3.22902,-0.67108,-3.43631,2.15319
-0.854629,3.22898,-0.671046,-3.43639,2.15311
-0.854903,3.22894,-0.671012,-3.43647,2.15303
-0.855178,3.2289,-0.670978,-3.43655,2.15296
-0.855452,3.22886,-0.670945,-3.43664,2.15288
-0.855726,3.22882,-0.670911,-3.43672,2.15281
-0.856,3.22878,-0.670878,-3.4368,2.15273
-0.856274,3.22874,-0.670844,-3.43688,2.15265
-0.856548,3.2287,-0.670811,-3.43696,2.15258
-0.856821,3.22866,-0.670777,-3.43705,2.1525
-0.857095,3.22863,-0.670744,-3.43713,2.15242
-0.857368,3.22859,-0.67071,-3.43721,2.15235
-0.857641,3.22855,-0.670677,-3.43729,2.15227
-0.857914,3.22851,-0.670644,-3.43737,2.1522
-0.858187,3.22847,-0.67061,-3.43746,2.15212
-0.858459,3.22843,-0.670577,-3.43754,2.15204
-0.858731,3.22839,-0.670544,-3.43762,2.15197
-0.859004,3.22835,-0.670511,-3.4377,2.15189
-0.859276,3.22831,-0.670478,-3.43778,2.15182
-0.859547,3.22827,-0.670444,-3.43786,2.15174
-0.859819,3.22823,-0.670411,-3.43795,2.15167
-0.860091,3.22819,-0.670378,-3.43803,2.15159
-0.860362,3.22816,-0.670345,-3.43811,2.15151
-0.860633,3.22812,-0.670312,-3.43819,2.15144
-0.860904,3.22808,-0.67028,-3.43827,2.15136
-0.861175,3.22804,-0.670247,-3.43835,2.15129
-0.861446,3.228,-0.670214,-3.43843,2.15121
-0.861717,3.22796,-0.670181,-3.43851,2.15114
-0.861987,3.22792,-0.670148,-3.4386,2.15106
-0.862257,3.22788,-0.670116,-3.43868,2.15099
-0.862527,3.22784,-0.670083,-3.43876,2.15091
-0.862797,3.2278,-0.67005,-3.43884,2.15084
-0.863067,3.22776,-0.670018,-3.43892,2.15076
-0.863337,3.22773,-0.669985,-3.439,2.15069
-0.863606,3.22769,-0.669953,-3.43908,2.15061
-0.863875,3.22765,-0.66992,-3.43916,2.15054
-0.864144,3.22761,-0.669888,-3.43924,2.15046
-0.864413,3.22757,-0.669855,-3.43932,2.15039
-0.864682,3.22753,-0.669823,-3.4394,2.15031
-0.864951,3.22749,-0.669791,-3.43949,2.15024
-0.865219,3.22745,-0.669758,-3.43957,2.15016
-0.865487,3.22741,-0.669726,-3.43965,2.15009
-0.865756,3.22737,-0.669694,-3.43973,2.15001
-0.866024,3.22734,-0.669662,-3.43981,2.14994
-0.866291,3.2273,-0.669629,-3.43989,2.14986
-0.866559,3.22726,-0.669597,-3.43997,2.14979
-0.866826,3.22722,-0.669565,-3.44005,2.14972
-0.867094,3.22718,-0.669533,-3.44013,2.14964
-0.867361,3.22714,-0.669501,-3.44021,2.14957
-0.867628,3.2271,-0.669469,-3.44029,2.14949
-0.867895,3.22706,-0.669437,-3.44037,2.14942
-0.868161,3.22702,-0.669406,-3.44045,2.14934
-0.868428,3.22699,-0.669374,-3.44053,2.14927
-0.868694,3.22695,-0.669342,-3.44061,2.1492
-0.86896,3.22691,-0.66931,-3.44069,2.14912
-0.869227,3.22687,-0.669278,-3.44077,2.14905
-0.869492,3.22683,-0.669247,-3.44085,2.14897
-0.869758,3.22679,-0.669215,-3.44093,2.1489
-0.870024,3.22675,-0.669183,-3.44101,2.14883
-0.870289,3.22671,-0.669152,-3.44109,2.14875
-0.870554,3.22667,-0.66912,-3.44117,2.14868
-0.870819,3.22664,-0.669089,-3.44125,2.1486
-0.871084,3.2266,-0.669057,-3.44133,2.14853
-0.871349,3.22656,-0.669026,-3.4414,2.14846
-0.871614,3.22652,-0.668994,-3.44148,2.14838
-0.871878,3.22648,-0.668963,-3.44156,2.14831
-0.872142,3.22644,-0.668932,-3.44164,2.14824
-0.872406,3.2264,-0.6689,-3.44172,2.14816
-0.87267,3.22636,-0.668869,-3.4418,2.14809
-0.872934,3.22632,-0.668838,-3.44188,2.14802
-0.873198,3.22629,-0.668807,-3.44196,2.14794
-0.873461,3.22625,-0.668776,-3.44204,2.14787
-0.873724,3.22621,-0.668745,-3.44212,2.1478
-0.873988,3.22617,-0.668714,-3.4422,2.14772
-0.874251,3.22613,-0.668683,-3.44228,2.14765
-0.874513,3.22609,-0.668652,-3.44235,2.14758
-0.874776,3.22605,-0.668621,-3.44243,2.1475
-0.875039,3.22601,-0.66859,-3.44251,2.14743
-0.875301,3.22598,-0.668559,-3.44259,2.14736
-0.875563,3.22594,-0.668528,-3.44267,2.14728
-0.875825,3.2259,-0.668497,-3.44275,2.14721
-0.876087,3.22586,-0.668466,-3.44283,2.14714
-0.876349,3.22582,-0.668436,-3.4429,2.14706
-0.87661,3.22578,-0.668405,-3.44298,2.14699
-0.876872,3.22574,-0.668374,-3.44306,2.14692
-0.877133,3.2257,-0.668344,-3.44314,2.14685
-0.877394,3.22567,-0.668313,-3.44322,2.14677
-0.877655,3.22563,-0.668283,-3.4433,2.1467
-0.877916,3.22559,-0.668252,-3.44337,2.14663
-0.878176,3.22555,-0.668222,-3.44345,2.14656
-0.878437,3.22551,-0.668191,-3.44353,2.14648
-0.878697,3.22547,-0.668161,-3.44361,2.14641
-0.878957,3.22543,-0.66813,-3.44369,2.14634
-0.879217,3.2254,-0.6681,-3.44377,2.14627
-0.879477,3.22536,-0.66807,-3.44384,2.14619
-0.879736,3.22532,-0.66804,-3.44392,2.14612
-0.879996,3.22528,-0.668009,-3.444,2.14605
-0.880255,3.22524,-0.667979,-3.44408,2.14598
-0.880514,3.2252,-0.667949,-3.44415,2.14591
-0.880773,3.22516,-0.667919,-3.44423,2.14583
-0.881032,3.22512,-0.667889,-3.44431,2.14576
-0.881291,3.22509,-0.667859,-3.44439,2.14569
-0.881549,3.22505,-0.667829,-3.44446,2.14562
-0.881808,3.22501,-0.667799,-3.44454,2.14555
-0.882066,3.22497,-0.667769,-3.44462,2.14547
-0.882324,3.22493,-0.667739,-3.4447,2.1454
-0.882582,3.22489,-0.667709,-3.44477,2.14533
-0.88284,3.22485,-0.667679,-3.44485,2.14526
-0.883097,3.22482,-0.66765,-3.44493,2.14519
-0.883355,3.22478,-0.66762,-3.44501,2.14512
-0.883612,3.22474,-0.66759,-3.44508,2.14504
-0.883869,3.2247,-0.66756,-3.44516,2.14497
-0.884126,3.22466,-0.667531,-3.44524,2.1449
-0.884383,3.22462,-0.667501,-3.44531,2.14483
-0.884639,3.22459,-0.667472,-3.44539,2.14476
-0.884896,3.22455,-0.667442,-3.44547,2.14469
-0.885152,3.22451,-0.667413,-3.44555,2.14462
-0.885408,3.22447,-0.667383,-3.44562,2.14454
-0.885664,3.22443,-0.667354,-3.4457,2.14447
-0.88592,3.22439,-0.667324,-3.44578,2.1444
-0.886176,3.22435,-0.667295,-3.44585,2.14433
-0.886431,3.22432,-0.667266,-3.44593,2.14426
-0.886687,3.22428,-0.667236,-3.44601,2.14419
-0.886942,3.22424,-0.667207,-3.44608,2.14412
-0.887197,3.2242,-0.667178,-3.44616,2.14405
-0.887452,3.22416,-0.667149,-3.44624,2.14398
-0.887707,3.22412,-0.66712,-3.44631,2.14391
-0.887961,3.22409,-0.667091,-3.44639,2.14383
-0.888216,3.22405,-0.667062,-3.44646,2.14376
-0.88847,3.22401,-0.667033,-3.44654,2.14369
-0.888724,3.22397,-0.667004,-3.44662,2.14362
-0.888978,3.22393,-0.666975,-3.44669,2.14355
-0.889232,3.22389,-0.666946,-3.44677,2.14348
-0.889486,3.22386,-0.666917,-3.44685,2.14341
-0.889739,3.22382,-0.666888,-3.44692,2.14334
-0.889993,3.22378,-0.666859,-3.447,2.14327
-0.890246,3.22374,-0.66683,-3.44707,2.1432
-0.890499,3.2237,-0.666802,-3.44715,2.14313
-0.890752,3.22366,-0.666773,-3.44723,2.14306
-0.891004,3.22363,-0.666744,-3.4473,2.14299
-0.891257,3.22359,-0.666716,-3.44738,2.14292
-0.891509,3.22355,-0.666687,-3.44745,2.14285
-0.891762,3.22351,-0.666659,-3.44753,2.14278
-0.892014,3.22347,-0.66663,-3.4476,2.14271
-0.892266,3.22343,-0.666602,-3.44768,2.14264
-0.892517,3.2234,-0.666573,-3.44776,2.14257
-0.892769,3.22336,-0.666545,-3.44783,2.1425
-0.893021,3.22332,-0.666516,-3.44791,2.14243
-0.893272,3.22328,-0.666488,-3.44798,2.14236
-0.893523,3.22324,-0.66646,-3.44806,2.14229
-0.893774,3.2232,-0.666431,-3.44813,2.14222
-0.894025,3.22317,-0.666403,-3.44821,2.14215
-0.894276,3.22313,-0.666375,-3.44828,2.14208
-0.894526,3.22309,-0.666347,-3.44836,2.14201
-0.894777,3.22305,-0.666319,-3.44843,2.14194
-0.895027,3.22301,-0.666291,-3.44851,2.14187
-0.895277,3.22298,-0.666263,-3.44858,2.1418
-0.895527,3.22294,-0.666235,-3.44866,2.14173
-0.895777,3.2229,-0.666207,-3.44873,2.14166
-0.896026,3.22286,-0.666179,-3.44881,2.14159
-0.896276,3.22282,-0.666151,-3.44888,2.14152
-0.896525,3.22279,-0.666123,-3.44896,2.14145
-0.896774,3.22275,-0.666095,-3.44903,2.14138
-0.897023,3.22271,-0.666067,-3.44911,2.14131
-0.897272,3.22267,-0.666039,-3.44918,2.14124
-0.897521,3.22263,-0.666012,-3.44926,2.14118
-0.897769,3.22259,-0.665984,-3.44933,2.14111
-0.898018,3.22256,-0.665956,-3.44941,2.14104
-0.898266,3.22252,-0.665929,-3.44948,2.14097
-0.898514,3.22248,-0.665901,-3.44955,2.1409
-0.898762,3.22244,-0.665874,-3.44963,2.14083
-0.89901,3.2224,-0.665846,-3.4497,2.14076
-0.899257,3.22237,-0.665818,-3.44978,2.14069
-0.899505,3.22233,-0.665791,-3.44985,2.14062
-0.899752,3.22229,-0.665764,-3.44993,2.14056
-0.899999,3.22225,-0.665736,-3.45,2.14049
-0.900246,3.22221,-0.665709,-3.45007,2.14042
-0.900493,3.22218,-0.665682,-3.45015,2.14035
-0.90074,3.22214,-0.665654,-3.45022,2.14028
-0.900986,3.2221,-0.665627,-3.4503,2.14021
-0.901233,3.22206,-0.6656,-3.45037,2.14014
-0.901479,3.22202,-0.665573,-3.45044,2.14008
-0.901725,3.22199,-0.665546,-3.45052,2.14001
-0.901971,3.22195,-0.665518,-3.45059,2.13994
-0.902217,3.22191,-0.665491,-3.45067,2.13987
-0.902462,3.22187,-0.665464,-3.45074,2.1398
-0.902708,3.22183,-0.665437,-3.45081,2.13973
-0.902953,3.2218,-0.66541,-3.45089,2.13967
-0.903198,3.22176,-0.665383,-3.45096,2.1396
-0.903443,3.22172,-0.665356,-3.45103,2.13953
-0.903688,3.22168,-0.66533,-3.45111,2.13946
-0.903933,3.22164,-0.665303,-3.45118,2.13939
-0.904177,3.22161,-0.665276,-3.45125,2.13933
-0.904422,3.22157,-0.665249,-3.45133,2.13926
-0.904666,3.22153,-0.665223,-3.4514,2.13919
-0.90491,3.22149,-0.665196,-3.45147,2.13912
-0.905154,3.22146,-0.665169,-3.45155,2.13905
-0.905398,3.22142,-0.665143,-3.45162,2.13899
-0.905642,3.22138,-0.665116,-3.45169,2.13892
-0.905885,3.22134,-0.665089,-3.45177,2.13885
-0.906128,3.2213,-0.665063,-3.45184,2.13878
-0.906372,3.22127,-0.665036,-3.45191,2.13872
-0.906615,3.22123,-0.66501,-3.45198,2.13865
-0.906858,3.22119,-0.664984,-3.45206,2.13858
-0.9071,3.22115,-0.664957,-3.45213,2.13851
-0.907343,3.22112,-0.664931,-3.4522,2.13845
-0.907585,3.22108,-0.664905,-3.45228,2.13838
-0.907828,3.22104,-0.664878,-3.45235,2.13831
-0.90807,3.221,-0.664852,-3.45242,2.13824
-0.908312,3.22096,-0.664826,-3.45249,2.13818
-0.908553,3.22093,-0.6648,-3.45257,2.13811
-0.908795,3.22089,-0.664774,-3.45264,2.13804
-0.909037,3.22085,-0.664747,-3.45271,2.13797
-0.909278,3.22081,-0.664721,-3.45278,2.13791
-0.909519,3.22078,-0.664695,-3.45286,2.13784
-0.90976,3.22074,-0.664669,-3.45293,2.13777
-0.910001,3.2207,-0.664643,-3.453,2.13771
-0.910242,3.22066,-0.664617,-3.45307,2.13764
-0.910483,3.22062,-0.664592,-3.45314,2.13757
-0.910723,3.22059,-0.664566,-3.45322,2.13751
-0.910963,3.22055,-0.66454,-3.45329,2.13744
-0.911203,3.22051,-0.664514,-3.45336,2.13737
-0.911443,3.22047,-0.664488,-3.45343,2.13731
-0.911683,3.22044,-0.664463,-3.45351,2.13724
-0.911923,3.2204,-0.664437,-3.45358,2.13717
-0.912163,3.22036,-0.664411,-3.45365,2.13711
-0.912402,3.22032,-0.664386,-3.45372,2.13704
-0.912641,3.22029,-0.66436,-3.45379,2.13697
-0.91288,3.22025,-0.664334,-3.45386,2.13691
-0.913119,3.22021,-0.664309,-3.45394,2.13684
-0.913358,3.22017,-0.664283,-3.45401,2.13677
-0.913597,3.22014,-0.664258,-3.45408,2.13671
-0.913835,3.2201,-0.664233,-3.45415,2.13664
-0.914074,3.22006,-0.664207,-3.45422,2.13657
-0.914312,3.22002,-0.664182,-3.45429,2.13651
-0.91455,3.21999,-0.664157,-3.45436,2.13644
-0.914788,3.21995,-0.664131,-3.45444,2.13638
-0.915026,3.21991,-0.664106,-3.45451,2.13631
-0.915263,3.21987,-0.664081,-3.45458,2.13624
-0.915501,3.21984,-0.664056,-3.45465,2.13618
-0.915738,3.2198,-0.66403,-3.45472,2.13611
-0.915975,3.21976,-0.664005,-3.45479,2.13605
-0.916212,3.21972,-0.66398,-3.45486,2.13598
-0.916449,3.21969,-0.663955,-3.45493,2.13591
-0.916686,3.21965,-0.66393,-3.45501,2.13585
-0.916922,3.21961,-0.663905,-3.45508,2.13578
-0.917159,3.21957,-0.66388,-3.45515,2.13572
-0.917395,3.21954,-0.663855,-3.45522,2.13565
-0.917631,3.2195,-0.663831,-3.45529,2.13559
-0.917867,3.21946,-0.663806,-3.45536,2.13552
-0.918103,3.21942,-0.663781,-3.45543,2.13546
-0.918339,3.21939,-0.663756,-3.4555,2.13539
-0.918574,3.21935,-0.663731,-3.45557,2.13532
-0.918809,3.21931,-0.663707,-3.45564,2.13526
-0.919045,3.21927,-0.663682,-3.45571,2.13519
-0.91928,3.21924,-0.663657,-3.45578,2.13513
-0.919515,3.2192,-0.663633,-3.45585,2.13506
-0.919749,3.21916,-0.663608,-3.45592,2.135
-0.919984,3.21913,-0.663584,-3.456,2.13493
-0.920218,3.21909,-0.663559,-3.45607,2.13487
-0.920453,3.21905,-0.663535,-3.45614,2.1348
-0.920687,3.21901,-0.66351,-3.45621,2.13474
-0.920921,3.21898,-0.663486,-3.45628,2.13467
-0.921155,3.21894,-0.663461,-3.45635,2.13461
-0.921389,3.2189,-0.663437,-3.45642,2.13454
-0.921622,3.21886,-0.663413,-3.45649,2.13448
-0.921856,3.21883,-0.663389,-3.45656,2.13441
-0.922089,3.21879,-0.663364,-3.45663,2.13435
-0.922322,3.21875,-0.66334,-3.4567,2.13428
-0.922555,3.21872,-0.663316,-3.45677,2.13422
-0.922788,3.21868,-0.663292,-3.45684,2.13415
-0.923021,3.21864,-0.663268,-3.45691,2.13409
-0.923253,3.2186,-0.663244,-3.45698,2.13402
-0.923486,3.21857,-0.66322,-3.45705,2.13396
-0.923718,3.21853,-0.663196,-3.45712,2.1339
-0.92395,3.21849,-0.663172,-3.45719,2.13383
-0.924182,3.21845,-0.663148,-3.45725,2.13377
-0.924414,3.21842,-0.663124,-3.45732,2.1337
-0.924645,3.21838,-0.6631,-3.45739,2.13364
-0.924877,3.21834,-0.663076,-3.45746,2.13357
-0.925108,3.21831,-0.663052,-3.45753,2.13351
-0.92534,3.21827,-0.663028,-3.4576,2.13344
-0.925571,3.21823,-0.663005,-3.45767,2.13338
-0.925802,3.21819,-0.662981,-3.45774,2.13332
-0.926032,3.21816,-0.662957,-3.45781,2.13325
-0.926263,3.21812,-0.662934,-3.45788,2.13319
-0.926494,3.21808,-0.66291,-3.45795,2.13312
-0.926724,3.21805,-0.662887,-3.45802,2.13306
-0.926954,3.21801,-0.662863,-3.45809,2.133
-0.927184,3.21797,-0.662839,-3.45816,2.13293
-0.927414,3.21794,-0.662816,-3.45822,2.13287
-0.927644,3.2179,-0.662793,-3.45829,2.1328
-0.927873,3.21786,-0.662769,-3.45836,2.13274
-0.928103,3.21782,-0.662746,-3.45843,2.13268
-0.928332,3.21779,-0.662722,-3.4585,2.13261
-0.928561,3.21775,-0.662699,-3.45857,2.13255
-0.92879,3.21771,-0.662676,-3.45864,2.13249
-0.929019,3.21768,-0.662653,-3.45871,2.13242
-0.929248,3.21764,-0.662629,-3.45877,2.13236
-0.929477,3.2176,-0.662606,-3.45884,2.1323
-0.929705,3.21757,-0.662583,-3.45891,2.13223
-0.929933,3.21753,-0.66256,-3.45898,2.13217
-0.930162,3.21749,-0.662537,-3.45905,2.13211
-0.93039,3.21745,-0.662514,-3.45912,2.13204
-0.930617,3.21742,-0.662491,-3.45919,2.13198
-0.930845,3.21738,-0.662468,-3.45925,2.13192
-0.931073,3.21734,-0.662445,-3.45932,2.13185
-0.9313,3.21731,-0.662422,-3.45939,2.13179
-0.931527,3.21727,-0.662399,-3.45946,2.13173
-0.931755,3.21723,-0.662376,-3.45953,2.13166
-0.931982,3.2172,-0.662353,-3.45959,2.1316
-0.932208,3.21716,-0.662331,-3.45966,2.13154
-0.932435,3.21712,-0.662308,-3.45973,2.13147
-0.932662,3.21709,-0.662285,-3.4598,2.13141
-0.932888,3.21705,-0.662262,-3.45987,2.13135
-0.933114,3.21701,-0.66224,-3.45993,2.13129
-0.933341,3.21698,-0.662217,-3.46,2.13122
-0.933567,3.21694,-0.662195,-3.46007,2.13116
-0.933792,3.2169,-0.662172,-3.46014,2.1311
-0.934018,3.21687,-0.66215,-3.46021,2.13103
-0.934244,3.21683,-0.662127,-3.46027,2.13097
-0.934469,3.21679,-0.662105,-3.46034,2.13091
-0.934694,3.21675,-0.662082,-3.46041,2.13085
-0.934919,3.21672,-0.66206,-3.46048,2.13078
-0.935144,3.21668,-0.662037,-3.46054,2.13072
-0.935369,3.21664,-0.662015,-3.46061,2.13066
-0.935594,3.21661,-0.661993,-3.46068,2.1306
-0.935818,3.21657,-0.66197,-3.46075,2.13053
-0.936043,3.21653,-0.661948,-3.46081,2.13047
-0.936267,3.2165,-0.661926,-3.46088,2.13041
-0.936491,3.21646,-0.661904,-3.46095,2.13035
-0.936715,3.21642,-0.661882,-3.46101,2.13029
-0.936939,3.21639,-0.66186,-3.46108,2.13022
-0.937163,3.21635,-0.661838,-3.46115,2.13016
-0.937386,3.21631,-0.661815,-3.46122,2.1301
-0.937609,3.21628,-0.661793,-3.46128,2.13004
-0.937833,3.21624,-0.661772,-3.46135,2.12998
-0.938056,3.2162,-0.66175,-3.46142,2.12991
-0.938279,3.21617,-0.661728,-3.46148,2.12985
-0.938502,3.21613,-0.661706,-3.46155,2.12979
-0.938724,3.21609,-0.661684,-3.46162,2.12973
-0.938947,3.21606,-0.661662,-3.46168,2.12967
-0.939169,3.21602,-0.66164,-3.46175,2.1296
-0.939391,3.21599,-0.661619,-3.46182,2.12954
-0.939613,3.21595,-0.661597,-3.46188,2.12948
-0.939835,3.21591,-0.661575,-3.46195,2.12942
-0.940057,3.21588,-0.661554,-3.46202,2.12936
-0.940279,3.21584,-0.661532,-3.46208,2.1293
-0.9405,3.2158,-0.66151,-3.46215,2.12923
-0.940722,3.21577,-0.661489,-3.46222,2.12917
-0.940943,3.21573,-0.661467,-3.46228,2.12911
-0.941164,3.21569,-0.661446,-3.46235,2.12905
-0.941385,3.21566,-0.661424,-3.46242,2.12899
-0.941606,3.21562,-0.661403,-3.46248,2.12893
-0.941826,3.21558,-0.661381,-3.46255,2.12887
-0.942047,3.21555,-0.66136,-3.46261,2.12881
-0.942267,3.21551,-0.661339,-3.46268,2.12874
-0.942488,3.21547,-0.661317,-3.46275,2.12868
-0.942708,3.21544,-0.661296,-3.46281,2.12862
-0.942928,3.2154,-0.661275,-3.46288,2.12856
-0.943147,3.21537,-0.661254,-3.46294,2.1285
-0.943367,3.21533,-0.661232,-3.46301,2.12844
-0.943587,3.21529,-0.661211,-3.46308,2.12838
-0.943806,3.21526,-0.66119,-3.46314,2.12832
-0.944025,3.21522,-0.661169,-3.46321,2.12826
-0.944244,3.21518,-0.661148,-3.46327,2.1282
-0.944463,3.21515,-0.661127,-3.46334,2.12813
-0.944682,3.21511,-0.661106,-3.4634,2.12807
-0.944901,3.21507,-0.661085,-3.46347,2.12801
-0.945119,3.21504,-0.661064,-3.46354,2.12795
-0.945338,3.215,-0.661043,-3.4636,2.12789
-0.945556,3.21497,-0.661022,-3.46367,2.12783
-0.945774,3.21493,-0.661002,-3.46373,2.12777
-0.945992,3.21489,-0.660981,-3.4638,2.12771
-0.94621,3.21486,-0.66096,-3.46386,2.12765
-0.946428,3.21482,-0.660939,-3.46393,2.12759
-0.946645,3.21478,-0.660919,-3.46399,2.12753
-0.946863,3.21475,-0.660898,-3.46406,2.12747
-0.94708,3.21471,-0.660877,-3.46412,2.12741
-0.947297,3.21468,-0.660857,-3.46419,2.12735
-0.947514,3.21464,-0.660836,-3.46425,2.12729
-0.947731,3.2146,-0.660816,-3.46432,2.12723
-0.947947,3.21457,-0.660795,-3.46438,2.12717
-0.948164,3.21453,-0.660775,-3.46445,2.12711
-0.94838,3.21449,-0.660754,-3.46451,2.12705
-0.948597,3.21446,-0.660734,-3.46458,2.12699
-0.948813,3.21442,-0.660713,-3.46464,2.12693
-0.949029,3.21439,-0.660693,-3.46471,2.12687
-0.949245,3.21435,-0.660673,-3.46477,2.12681
-0.94946,3.21431,-0.660652,-3.46484,2.12675
-0.949676,3.21428,-0.660632,-3.4649,2.12669
-0.949891,3.21424,-0.660612,-3.46497,2.12663
-0.950107,3.21421,-0.660592,-3.46503,2.12657
-0.950322,3.21417,-0.660571,-3.4651,2.12651
-0.950537,3.21413,-0.660551,-3.46516,2.12645
-0.950752,3.2141,-0.660531,-3.46523,2.12639
-0.950966,3.21406,-0.660511,-3.46529,2.12633
-0.951181,3.21403,-0.660491,-3.46535,2.12627
-0.951395,3.21399,-0.660471,-3.46542,2.12621
-0.95161,3.21395,-0.660451,-3.46548,2.12615
-0.951824,3.21392,-0.660431,-3.46555,2.12609
-0.952038,3.21388,-0.660411,-3.46561,2.12603
-0.952252,3.21385,-0.660391,-3.46568,2.12597
-0.952466,3.21381,-0.660371,-3.46574,2.12591
-0.952679,3.21377,-0.660352,-3.4658,2.12585
-0.952893,3.21374,-0.660332,-3.46587,2.1258
-0.953106,3.2137,-0.660312,-3.46593,2.12574
-0.953319,3.21367,-0.660292,-3.466,2.12568
-0.953532,3.21363,-0.660273,-3.46606,2.12562
-0.953745,3.21359,-0.660253,-3.46612,2.12556
-0.953958,3.21356,-0.660233,-3.46619,2.1255
-0.954171,3.21352,-0.660214,-3.46625,2.12544
-0.954383,3.21349,-0.660194,-3.46631,2.12538
-0.954595,3.21345,-0.660175,-3.46638,2.12532
-0.954808,3.21341,-0.660155,-3.46644,2.12526
-0.95502,3.21338,-0.660136,-3.46651,2.12521
-0.955232,3.21334,-0.660116,-3.46657,2.12515
-0.955444,3.21331,-0.660097,-3.46663,2.12509
-0.955655,3.21327,-0.660077,-3.4667,2.12503
-0.955867,3.21324,-0.660058,-3.46676,2.12497
-0.956078,3.2132,-0.660039,-3.46682,2.12491
-0.956289,3.21316,-0.660019,-3.46689,2.12485
-0.9565,3.21313,-0.66,-3.46695,2.12479
-0.956711,3.21309,-0.659981,-3.46701,2.12474
-0.956922,3.21306,-0.659962,-3.46708,2.12468
-0.957133,3.21302,-0.659942,-3.46714,2.12462
-0.957344,3.21298,-0.659923,-3.4672,2.12456
-0.957554,3.21295,-0.659904,-3.46727,2.1245
-0.957764,3.21291,-0.659885,-3.46733,2.12444
-0.957974,3.21288,-0.659866,-3.46739,2.12439
-0.958184,3.21284,-0.659847,-3.46746,2.12433
-0.958394,3.21281,-0.659828,-3.46752,2.12427
-0.958604,3.21277,-0.659809,-3.46758,2.12421
-0.958814,3.21273,-0.65979,-3.46764,2.12415
-0.959023,3.2127,-0.659771,-3.46771,2.12409
-0.959232,3.21266,-0.659752,-3.46777,2.12404
-0.959441,3.21263,-0.659733,-3.46783,2.12398
-0.959651,3.21259,-0.659715,-3.4679,2.12392
-0.959859,3.21256,-0.659696,-3.46796,2.12386
-0.960068,3.21252,-0.659677,-3.46802,2.1238
-0.960277,3.21249,-0.659658,-3.46808,2.12375
-0.960485,3.21245,-0.65964,-3.46815,2.12369
-0.960694,3.21241,-0.659621,-3.46821,2.12363
-0.960902,3.21238,-0.659602,-3.46827,2.12357
-0.96111,3.21234,-0.659584,-3.46833,2.12352
-0.961318,3.21231,-0.659565,-3.4684,2.12346
-0.961526,3.21227,-0.659547,-3.46846,2.1234
-0.961733,3.21224,-0.659528,-3.46852,2.12334
-0.961941,3.2122,-0.65951,-3.46858,2.12329
-0.962148,3.21217,-0.659491,-3.46864,2.12323
-0.962356,3.21213,-0.659473,-3.46871,2.12317
-0.962563,3.21209,-0.659454,-3.46877,2.12311
-0.96277,3.21206,-0.659436,-3.46883,2.12306
-0.962977,3.21202,-0.659418,-3.46889,2.123
-0.963183,3.21199,-0.659399,-3.46895,2.12294
-0.96339,3.21195,-0.659381,-3.46902,2.12288
-0.963596,3.21192,-0.659363,-3.46908,2.12283
-0.963803,3.21188,-0.659345,-3.46914,2.12277
-0.964009,3.21185,-0.659326,-3.4692,2.12271
-0.964215,3.21181,-0.659308,-3.46926,2.12265
-0.964421,3.21178,-0.65929,-3.46933,2.1226
-0.964626,3.21174,-0.659272,-3.46939,2.12254
-0.964832,3.2117,-0.659254,-3.46945,2.12248
-0.965037,3.21167,-0.659236,-3.46951,2.12243
-0.965243,3.21163,-0.659218,-3.46957,2.12237
-0.965448,3.2116,-0.6592,-3.46963,2.12231
-0.965653,3.21156,-0.659182,-3.4697,2.12226
-0.965858,3.21153,-0.659164,-3.46976,2.1222
-0.966063,3.21149,-0.659146,-3.46982,2.12214
-0.966268,3.21146,-0.659128,-3.46988,2.12208
-0.966472,3.21142,-0.659111,-3.46994,2.12203
-0.966676,3.21139,-0.659093,-3.47,2.12197
