V,K_I,Na_I,L_I,Cl_I
0.168324,4.56291e-07,-0.000579527,-3.1295,2.44344
0.17001,4.75189e-07,-0.000600081,-3.129,2.44393
0.171696,4.94669e-07,-0.000621112,-3.12849,2.44442
0.173381,5.14741e-07,-0.000642627,-3.12799,2.4449
0.175064,5.35417e-07,-0.000664631,-3.12748,2.44539
0.176747,5.56709e-07,-0.000687127,-3.12698,2.44588
0.178429,5.7863e-07,-0.00071012,-3.12647,2.44636
0.18011,6.01192e-07,-0.000733615,-3.12597,2.44685
0.18179,6.24407e-07,-0.000757616,-3.12546,2.44734
0.183468,6.48287e-07,-0.000782128,-3.12496,2.44782
0.185146,6.72845e-07,-0.000807156,-3.12446,2.44831
0.186823,6.98094e-07,-0.000832703,-3.12395,2.44879
0.188499,7.24047e-07,-0.000858773,-3.12345,2.44928
0.190174,7.50716e-07,-0.000885372,-3.12295,2.44976
0.191848,7.78114e-07,-0.000912503,-3.12245,2.45025
0.193522,8.06255e-07,-0.000940171,-3.12194,2.45073
0.195194,8.35153e-07,-0.000968379,-3.12144,2.45121
0.196865,8.64819e-07,-0.000997131,-3.12094,2.4517
0.198535,8.95268e-07,-0.00102643,-3.12044,2.45218
0.200204,9.26514e-07,-0.00105629,-3.11994,2.45266
0.201873,9.5857e-07,-0.0010867,-3.11944,2.45315
0.20354,9.9145e-07,-0.00111766,-3.11894,2.45363
0.205207,1.02517e-06,-0.0011492,-3.11844,2.45411
0.206872,1.05974e-06,-0.0011813,-3.11794,2.4546
0.208537,1.09518e-06,-0.00121397,-3.11744,2.45508
0.2102,1.13149e-06,-0.00124722,-3.11694,2.45556
0.211863,1.1687e-06,-0.00128104,-3.11644,2.45604
0.213524,1.20683e-06,-0.00131545,-3.11594,2.45652
0.215185,1.24587e-06,-0.00135044,-3.11544,2.457
0.216845,1.28586e-06,-0.00138603,-3.11495,2.45748
0.218504,1.3268e-06,-0.0014222,-3.11445,2.45796
0.220162,1.36871e-06,-0.00145897,-3.11395,2.45844
0.221819,1.4116e-06,-0.00149634,-3.11345,2.45892
0.223475,1.45549e-06,-0.0015343,-3.11296,2.4594
0.22513,1.5004e-06,-0.00157288,-3.11246,2.45988
0.226784,1.54633e-06,-0.00161206,-3.11196,2.46036
0.228437,1.59332e-06,-0.00165185,-3.11147,2.46084
0.230089,1.64136e-06,-0.00169226,-3.11097,2.46132
0.231741,1.69048e-06,-0.00173328,-3.11048,2.4618
0.233391,1.7407e-06,-0.00177492,-3.10998,2.46228
0.235041,1.79202e-06,-0.00181719,-3.10949,2.46276
0.236689,1.84447e-06,-0.00186008,-3.10899,2.46323
0.238337,1.89806e-06,-0.0019036,-3.1085,2.46371
0.239983,1.95281e-06,-0.00194775,-3.108,2.46419
0.241629,2.00874e-06,-0.00199253,-3.10751,2.46467
0.243274,2.06585e-06,-0.00203794,-3.10702,2.46514
0.244918,2.12418e-06,-0.002084,-3.10652,2.46562
0.246561,2.18373e-06,-0.0021307,-3.10603,2.4661
0.248203,2.24452e-06,-0.00217803,-3.10554,2.46657
0.249844,2.30657e-06,-0.00222602,-3.10505,2.46705
0.251484,2.36989e-06,-0.00227465,-3.10455,2.46752
0.253124,2.43451e-06,-0.00232393,-3.10406,2.468
0.254762,2.50045e-06,-0.00237387,-3.10357,2.46847
0.2564,2.56771e-06,-0.00242445,-3.10308,2.46895
0.258036,2.63631e-06,-0.0024757,-3.10259,2.46942
0.259672,2.70628e-06,-0.0025276,-3.1021,2.4699
0.261306,2.77763e-06,-0.00258016,-3.10161,2.47037
0.26294,2.85039e-06,-0.00263338,-3.10112,2.47085
0.264573,2.92456e-06,-0.00268727,-3.10063,2.47132
0.266205,3.00016e-06,-0.00274183,-3.10014,2.4718
0.267836,3.07723e-06,-0.00279705,-3.09965,2.47227
0.269466,3.15576e-06,-0.00285294,-3.09916,2.47274
0.271096,3.23579e-06,-0.0029095,-3.09867,2.47321
0.272724,3.31732e-06,-0.00296674,-3.09818,2.47369
0.274352,3.40039e-06,-0.00302464,-3.09769,2.47416
0.275978,3.485e-06,-0.00308323,-3.09721,2.47463
0.277604,3.57119e-06,-0.00314249,-3.09672,2.4751
0.279228,3.65895e-06,-0.00320243,-3.09623,2.47558
0.280852,3.74833e-06,-0.00326305,-3.09574,2.47605
0.282475,3.83933e-06,-0.00332436,-3.09526,2.47652
0.284097,3.93197e-06,-0.00338634,-3.09477,2.47699
0.285719,4.02628e-06,-0.00344901,-3.09428,2.47746
0.287339,4.12227e-06,-0.00351237,-3.0938,2.47793
0.288958,4.21997e-06,-0.00357641,-3.09331,2.4784
0.290577,4.31938e-06,-0.00364114,-3.09283,2.47887
0.292194,4.42055e-06,-0.00370656,-3.09234,2.47934
0.293811,4.52348e-06,-0.00377266,-3.09186,2.47981
0.295427,4.62819e-06,-0.00383946,-3.09137,2.48028
0.297042,4.7347e-06,-0.00390695,-3.09089,2.48075
0.298656,4.84304e-06,-0.00397514,-3.0904,2.48122
0.300269,4.95323e-06,-0.00404401,-3.08992,2.48169
0.301881,5.06529e-06,-0.00411359,-3.08944,2.48216
0.303493,5.17923e-06,-0.00418385,-3.08895,2.48262
0.305103,5.29508e-06,-0.00425482,-3.08847,2.48309
0.306713,5.41286e-06,-0.00432648,-3.08799,2.48356
0.308321,5.53259e-06,-0.00439883,-3.0875,2.48403
0.309929,5.65429e-06,-0.00447189,-3.08702,2.48449
0.311536,5.77799e-06,-0.00454564,-3.08654,2.48496
0.313142,5.9037e-06,-0.0046201,-3.08606,2.48543
0.314748,6.03145e-06,-0.00469525,-3.08558,2.48589
0.316352,6.16126e-06,-0.0047711,-3.08509,2.48636
0.317956,6.29315e-06,-0.00484766,-3.08461,2.48683
0.319558,6.42714e-06,-0.00492491,-3.08413,2.48729
0.32116,6.56325e-06,-0.00500287,-3.08365,2.48776
0.322761,6.70151e-06,-0.00508153,-3.08317,2.48822
0.324361,6.84194e-06,-0.00516089,-3.08269,2.48869
0.32596,6.98457e-06,-0.00524095,-3.08221,2.48916
0.327558,7.1294e-06,-0.00532172,-3.08173,2.48962
0.329156,7.27648e-06,-0.00540318,-3.08125,2.49008
0.330752,7.42581e-06,-0.00548536,-3.08077,2.49055
0.332348,7.57743e-06,-0.00556823,-3.0803,2.49101
0.333943,7.73135e-06,-0.00565181,-3.07982,2.49148
0.335537,7.8876e-06,-0.00573609,-3.07934,2.49194
0.33713,8.0462e-06,-0.00582107,-3.07886,2.4924
0.338722,8.20718e-06,-0.00590676,-3.07838,2.49287
0.340314,8.37055e-06,-0.00599315,-3.07791,2.49333
0.341904,8.53635e-06,-0.00608024,-3.07743,2.49379
0.343494,8.7046e-06,-0.00616803,-3.07695,2.49426
0.345083,8.87531e-06,-0.00625653,-3.07648,2.49472
0.346671,9.04852e-06,-0.00634573,-3.076,2.49518
0.348258,9.22425e-06,-0.00643564,-3.07552,2.49564
0.349844,9.40252e-06,-0.00652624,-3.07505,2.4961
0.35143,9.58335e-06,-0.00661755,-3.07457,2.49657
0.353014,9.76678e-06,-0.00670956,-3.0741,2.49703
0.354598,9.95282e-06,-0.00680227,-3.07362,2.49749
0.356181,1.01415e-05,-0.00689568,-3.07315,2.49795
0.357763,1.03328e-05,-0.00698979,-3.07267,2.49841
0.359344,1.05269e-05,-0.0070846,-3.0722,2.49887
0.360925,1.07236e-05,-0.00718011,-3.07172,2.49933
0.362504,1.09231e-05,-0.00727632,-3.07125,2.49979
0.364083,1.11254e-05,-0.00737322,-3.07078,2.50025
0.365661,1.13304e-05,-0.00747083,-3.0703,2.50071
0.367238,1.15383e-05,-0.00756913,-3.06983,2.50117
0.368814,1.1749e-05,-0.00766813,-3.06936,2.50163
0.37039,1.19625e-05,-0.00776783,-3.06888,2.50209
0.371964,1.2179e-05,-0.00786822,-3.06841,2.50255
0.373538,1.23983e-05,-0.0079693,-3.06794,2.503
0.375111,1.26207e-05,-0.00807108,-3.06747,2.50346
0.376683,1.28459e-05,-0.00817355,-3.067,2.50392
0.378254,1.30742e-05,-0.00827672,-3.06652,2.50438
0.379824,1.33055e-05,-0.00838058,-3.06605,2.50484
0.381394,1.35399e-05,-0.00848513,-3.06558,2.50529
0.382963,1.37773e-05,-0.00859037,-3.06511,2.50575
0.384531,1.40178e-05,-0.00869629,-3.06464,2.50621
