V,K_I,Na_I,L_I,HCN_I
0.297516,4.31384e-07,-0.000546734,-3.09075,0.00860614
0.300598,4.49752e-07,-0.000566689,-3.08982,0.00871525
0.30368,4.68704e-07,-0.000587127,-3.0889,0.00882476
0.306761,4.88251e-07,-0.000608053,-3.08797,0.00893465
0.30984,5.08405e-07,-0.00062947,-3.08705,0.00904493
0.312919,5.29179e-07,-0.000651386,-3.08612,0.0091556
0.315996,5.50587e-07,-0.000673804,-3.0852,0.00926666
0.319073,5.7264e-07,-0.00069673,-3.08428,0.0093781
0.322149,5.95351e-07,-0.000720168,-3.08336,0.00948993
0.325223,6.18734e-07,-0.000744124,-3.08243,0.00960215
0.328297,6.42803e-07,-0.000768603,-3.08151,0.00971475
0.331369,6.67569e-07,-0.000793608,-3.08059,0.00982774
0.334441,6.93048e-07,-0.000819146,-3.07967,0.00994111
0.337512,7.19252e-07,-0.000845221,-3.07875,0.0100549
0.340581,7.46195e-07,-0.000871837,-3.07783,0.010169
0.34365,7.73892e-07,-0.000898999,-3.07691,0.0102835
0.346717,8.02356e-07,-0.000926712,-3.07598,0.0103985
0.349784,8.31602e-07,-0.00095498,-3.07506,0.0105138
0.352849,8.61643e-07,-0.000983808,-3.07415,0.0106294
0.355914,8.92495e-07,-0.0010132,-3.07323,0.0107455
0.358977,9.24172e-07,-0.00104316,-3.07231,0.0108619
0.36204,9.56688e-07,-0.00107369,-3.07139,0.0109788
0.365101,9.90059e-07,-0.0011048,-3.07047,0.011096
0.368162,1.0243e-06,-0.0011365,-3.06955,0.0112136
0.371221,1.05942e-06,-0.00116877,-3.06863,0.0113315
0.37428,1.09545e-06,-0.00120164,-3.06772,0.0114499
0.377337,1.13239e-06,-0.0012351,-3.0668,0.0115686
0.380393,1.17026e-06,-0.00126916,-3.06588,0.0116877
0.383449,1.20908e-06,-0.00130383,-3.06497,0.0118072
0.386503,1.24886e-06,-0.00133909,-3.06405,0.0119271
0.389557,1.28962e-06,-0.00137497,-3.06313,0.0120474
0.392609,1.33137e-06,-0.00141146,-3.06222,0.012168
0.395661,1.37413e-06,-0.00144857,-3.0613,0.012289
0.398711,1.41792e-06,-0.0014863,-3.06039,0.0124104
0.401761,1.46276e-06,-0.00152465,-3.05947,0.0125321
0.404809,1.50865e-06,-0.00156364,-3.05856,0.0126543
0.407857,1.55562e-06,-0.00160325,-3.05764,0.0127768
0.410903,1.60369e-06,-0.0016435,-3.05673,0.0128997
0.413949,1.65287e-06,-0.0016844,-3.05582,0.013023
0.416993,1.70317e-06,-0.00172593,-3.0549,0.0131466
0.420036,1.75462e-06,-0.00176811,-3.05399,0.0132706
0.423079,1.80723e-06,-0.00181094,-3.05308,0.013395
0.42612,1.86103e-06,-0.00185442,-3.05216,0.0135198
0.429161,1.91602e-06,-0.00189856,-3.05125,0.0136449
0.4322,1.97223e-06,-0.00194335,-3.05034,0.0137705
0.435239,2.02967e-06,-0.00198881,-3.04943,0.0138963
0.438276,2.08836e-06,-0.00203494,-3.04852,0.0140226
0.441313,2.14833e-06,-0.00208173,-3.04761,0.0141492
0.444349,2.20958e-06,-0.00212919,-3.0467,0.0142763
0.447383,2.27214e-06,-0.00217733,-3.04579,0.0144036
0.450417,2.33603e-06,-0.00222615,-3.04488,0.0145314
0.453449,2.40127e-06,-0.00227565,-3.04397,0.0146595
0.456481,2.46787e-06,-0.00232583,-3.04306,0.014788
0.459511,2.53585e-06,-0.00237669,-3.04215,0.0149169
0.462541,2.60523e-06,-0.00242825,-3.04124,0.0150461
0.46557,2.67604e-06,-0.00248049,-3.04033,0.0151757
0.468597,2.74829e-06,-0.00253343,-3.03942,0.0153057
0.471624,2.82199e-06,-0.00258707,-3.03851,0.0154361
0.47465,2.89719e-06,-0.0026414,-3.03761,0.0155668
0.477674,2.97388e-06,-0.00269644,-3.0367,0.0156979
0.480698,3.05209e-06,-0.00275218,-3.03579,0.0158293
0.483721,3.13185e-06,-0.00280863,-3.03488,0.0159611
0.486742,3.21316e-06,-0.00286578,-3.03398,0.0160933
0.489763,3.29606e-06,-0.00292365,-3.03307,0.0162259
0.492783,3.38056e-06,-0.00298223,-3.03217,0.0163588
0.495802,3.46669e-06,-0.00304153,-3.03126,0.0164921
0.498819,3.55446e-06,-0.00310154,-3.03035,0.0166257
0.501836,3.6439e-06,-0.00316227,-3.02945,0.0167598
0.504852,3.73502e-06,-0.00322373,-3.02854,0.0168942
0.507867,3.82786e-06,-0.00328591,-3.02764,0.0170289
0.510881,3.92242e-06,-0.00334881,-3.02674,0.017164
0.513894,4.01874e-06,-0.00341244,-3.02583,0.0172995
0.516906,4.11683e-06,-0.00347681,-3.02493,0.0174354
0.519917,4.21671e-06,-0.0035419,-3.02402,0.0175716
0.522927,4.31841e-06,-0.00360773,-3.02312,0.0177081
0.525936,4.42196e-06,-0.00367429,-3.02222,0.0178451
0.528944,4.52736e-06,-0.00374159,-3.02132,0.0179824
0.531951,4.63465e-06,-0.00380963,-3.02041,0.01812
0.534957,4.74385e-06,-0.00387841,-3.01951,0.0182581
0.537962,4.85498e-06,-0.00394793,-3.01861,0.0183964
0.540966,4.96806e-06,-0.0040182,-3.01771,0.0185352
0.543969,5.08312e-06,-0.0040892,-3.01681,0.0186743
0.546972,5.20018e-06,-0.00416096,-3.01591,0.0188138
0.549973,5.31926e-06,-0.00423347,-3.01501,0.0189536
0.552973,5.44038e-06,-0.00430672,-3.01411,0.0190938
0.555972,5.56358e-06,-0.00438072,-3.01321,0.0192343
0.558971,5.68887e-06,-0.00445548,-3.01231,0.0193752
0.561968,5.81628e-06,-0.00453099,-3.01141,0.0195165
0.564965,5.94584e-06,-0.00460726,-3.01051,0.0196581
0.56796,6.07755e-06,-0.00468428,-3.00961,0.0198001
0.570955,6.21146e-06,-0.00476206,-3.00871,0.0199425
0.573948,6.34759e-06,-0.00484059,-3.00782,0.0200852
0.576941,6.48595e-06,-0.00491989,-3.00692,0.0202282
0.579932,6.62658e-06,-0.00499994,-3.00602,0.0203716
0.582923,6.7695e-06,-0.00508076,-3.00512,0.0205154
0.585913,6.91473e-06,-0.00516234,-3.00423,0.0206595
0.588901,7.06231e-06,-0.00524469,-3.00333,0.020804
0.591889,7.21224e-06,-0.00532779,-3.00243,0.0209489
0.594876,7.36457e-06,-0.00541167,-3.00154,0.0210941
0.597862,7.51932e-06,-0.00549631,-3.00064,0.0212396
0.600847,7.67651e-06,-0.00558171,-2.99975,0.0213855
0.603831,7.83617e-06,-0.00566789,-2.99885,0.0215318
0.606814,7.99832e-06,-0.00575483,-2.99796,0.0216784
0.609796,8.16299e-06,-0.00584254,-2.99706,0.0218254
0.612777,8.33021e-06,-0.00593103,-2.99617,0.0219727
0.615757,8.50001e-06,-0.00602028,-2.99527,0.0221204
0.618736,8.6724e-06,-0.0061103,-2.99438,0.0222684
0.621714,8.84743e-06,-0.0062011,-2.99349,0.0224168
0.624691,9.0251e-06,-0.00629267,-2.99259,0.0225655
0.627668,9.20546e-06,-0.00638501,-2.9917,0.0227146
0.630643,9.38853e-06,-0.00647812,-2.99081,0.022864
0.633617,9.57433e-06,-0.00657201,-2.98991,0.0230138
0.636591,9.7629e-06,-0.00666667,-2.98902,0.0231639
0.639563,9.95426e-06,-0.00676211,-2.98813,0.0233144
0.642535,1.01484e-05,-0.00685833,-2.98724,0.0234653
0.645506,1.03455e-05,-0.00695531,-2.98635,0.0236164
0.648475,1.05454e-05,-0.00705308,-2.98546,0.023768
0.651444,1.07482e-05,-0.00715162,-2.98457,0.0239199
0.654412,1.09539e-05,-0.00725093,-2.98368,0.0240721
0.657379,1.11626e-05,-0.00735103,-2.98279,0.0242247
0.660345,1.13743e-05,-0.0074519,-2.9819,0.0243776
0.66331,1.1589e-05,-0.00755354,-2.98101,0.0245309
0.666274,1.18068e-05,-0.00765597,-2.98012,0.0246845
0.669237,1.20276e-05,-0.00775917,-2.97923,0.0248385
0.672199,1.22515e-05,-0.00786314,-2.97834,0.0249928
0.67516,1.24786e-05,-0.0079679,-2.97745,0.0251475
0.67812,1.27088e-05,-0.00807343,-2.97656,0.0253025
0.68108,1.29423e-05,-0.00817974,-2.97568,0.0254578
0.684038,1.31789e-05,-0.00828683,-2.97479,0.0256136
0.686995,1.34188e-05,-0.0083947,-2.9739,0.0257696
0.689952,1.3662e-05,-0.00850334,-2.97301,0.025926
0.692907,1.39086e-05,-0.00861276,-2.97213,0.0260827
0.695862,1.41584e-05,-0.00872295,-2.97124,0.0262398
0.698816,1.44117e-05,-0.00883393,-2.97036,0.0263972
0.701769,1.46683e-05,-0.00894568,-2.96947,0.026555
0.70472,1.49284e-05,-0.0090582,-2.96858,0.0267131
0.707671,1.5192e-05,-0.00917151,-2.9677,0.0268716
0.710621,1.5459e-05,-0.00928558,-2.96681,0.0270304
0.71357,1.57296e-05,-0.00940044,-2.96593,0.0271895
0.716519,1.60038e-05,-0.00951607,-2.96504,0.027349
0.719466,1.62815e-05,-0.00963248,-2.96416,0.0275088
0.722412,1.65629e-05,-0.00974966,-2.96328,0.027669
0.725357,1.68479e-05,-0.00986761,-2.96239,0.0278295
0.728302,1.71367e-05,-0.00998634,-2.96151,0.0279904
0.731245,1.74291e-05,-0.0101058,-2.96063,0.0281516
0.734188,1.77253e-05,-0.0102261,-2.95974,0.0283131
0.737129,1.80253e-05,-0.0103472,-2.95886,0.028475
0.74007,1.83291e-05,-0.010469,-2.95798,0.0286372
0.74301,1.86368e-05,-0.0105916,-2.9571,0.0287997
0.745949,1.89484e-05,-0.010715,-2.95622,0.0289626
0.748887,1.92639e-05,-0.0108391,-2.95533,0.0291258
0.751824,1.95833e-05,-0.010964,-2.95445,0.0292894
0.75476,1.99067e-05,-0.0110897,-2.95357,0.0294533
0.757695,2.02342e-05,-0.0112161,-2.95269,0.0296175
0.760629,2.05657e-05,-0.0113433,-2.95181,0.0297821
0.763563,2.09013e-05,-0.0114713,-2.95093,0.029947
0.766495,2.1241e-05,-0.0116001,-2.95005,0.0301123
0.769427,2.15849e-05,-0.0117296,-2.94917,0.0302778
0.772357,2.1933e-05,-0.0118599,-2.94829,0.0304438
0.775287,2.22853e-05,-0.0119909,-2.94741,0.03061
0.778216,2.26418e-05,-0.0121228,-2.94654,0.0307766
0.781144,2.30027e-05,-0.0122553,-2.94566,0.0309436
0.784071,2.33679e-05,-0.0123887,-2.94478,0.0311108
0.786997,2.37374e-05,-0.0125228,-2.9439,0.0312784
0.789922,2.41114e-05,-0.0126577,-2.94302,0.0314463
0.792846,2.44898e-05,-0.0127933,-2.94215,0.0316146
0.795769,2.48726e-05,-0.0129297,-2.94127,0.0317832
0.798692,2.526e-05,-0.0130668,-2.94039,0.0319521
0.801613,2.56519e-05,-0.0132048,-2.93952,0.0321214
0.804534,2.60484e-05,-0.0133434,-2.93864,0.032291
0.807453,2.64496e-05,-0.0134828,-2.93776,0.0324609
0.810372,2.68553e-05,-0.013623,-2.93689,0.0326312
0.81329,2.72658e-05,-0.013764,-2.93601,0.0328018
0.816207,2.7681e-05,-0.0139057,-2.93514,0.0329727
0.819123,2.81009e-05,-0.0140481,-2.93426,0.033144
0.822038,2.85257e-05,-0.0141913,-2.93339,0.0333156
0.824952,2.89553e-05,-0.0143353,-2.93251,0.0334875
0.827866,2.93898e-05,-0.01448,-2.93164,0.0336597
0.830778,2.98291e-05,-0.0146254,-2.93077,0.0338323
0.83369,3.02735e-05,-0.0147716,-2.92989,0.0340052
0.8366,3.07228e-05,-0.0149186,-2.92902,0.0341784
0.83951,3.11772e-05,-0.0150663,-2.92815,0.034352
0.842419,3.16366e-05,-0.0152147,-2.92727,0.0345259
0.845327,3.21011e-05,-0.0153639,-2.9264,0.0347001
0.848234,3.25707e-05,-0.0155138,-2.92553,0.0348747
0.85114,3.30456e-05,-0.0156645,-2.92466,0.0350496
0.854045,3.35256e-05,-0.0158159,-2.92379,0.0352248
0.856949,3.40109e-05,-0.0159681,-2.92292,0.0354003
0.859853,3.45015e-05,-0.016121,-2.92204,0.0355762
0.862755,3.49975e-05,-0.0162746,-2.92117,0.0357523
0.865657,3.54988e-05,-0.016429,-2.9203,0.0359289
0.868558,3.60055e-05,-0.0165841,-2.91943,0.0361057
0.871458,3.65177e-05,-0.0167399,-2.91856,0.0362829
